session_date,user_id,visits,pageviews,transactions,revenue,device,country
2016-08-19,1291691279108385137,1,30,,,mobile,Czechia
2016-08-19,5481905937199610748,1,30,1,79.97,mobile,United States
2016-08-19,3870523357204139831,1,31,1,52.38,desktop,United States
2016-08-19,196856185999787180,1,29,1,225.96,desktop,United States
2016-08-19,8843025310060521600,1,31,,,desktop,United States
2016-08-19,9367883304718826385,1,36,1,1.2,desktop,United States
2016-08-19,2675698113041289760,1,30,,,desktop,Netherlands
2016-08-19,156345497341620293,1,30,,,desktop,United States
2016-08-19,7041907630751654454,1,18,,,desktop,Venezuela
2016-08-19,4913801338365738862,1,41,,,mobile,United States
2016-08-19,658875017372423649,1,30,,,desktop,United States
2016-08-19,5134534584402689966,1,31,1,89.32,desktop,United States
2016-08-19,177661245258589850,1,36,,,mobile,United States
2016-08-19,2467715895053922094,1,31,,,desktop,United States
2016-08-19,8551112991718773193,1,33,,,desktop,United States
2016-08-19,5541410550636269362,1,38,1,46.87,desktop,United States
2016-08-19,0622280363748067669,1,33,,,desktop,United States
2016-08-19,6706507622574895625,1,32,,,desktop,Ukraine
2016-08-19,0321971686985517255,1,36,,,desktop,United States
2016-08-19,3717531108027840890,1,33,,,desktop,United States
2016-08-19,2587365850112319237,1,32,,,desktop,United States
2016-08-19,63943912605999464,1,31,,,desktop,United States
2016-08-19,7735082895172674044,1,33,,,desktop,Guatemala
2016-08-19,112539165814066862,1,35,,,desktop,United States
2016-08-19,3514808551180416782,1,44,1,137.21,desktop,(not set)
2016-08-19,4953654930986911350,1,41,,,desktop,United States
2016-08-19,615932612333488695,1,33,,,tablet,Turkey
2016-08-19,7336599802387183829,1,44,1,120.37,desktop,United States
2016-08-19,3026421208569347766,1,39,1,6.34,desktop,United States
2016-08-19,2647984952306647817,1,44,,,tablet,United States
2016-08-19,013090041148605721,1,46,,,mobile,Ecuador
2016-08-19,2213510368505418751,1,43,,,desktop,United States
2016-08-19,9754532782260767990,1,44,,,desktop,United States
2016-08-19,2073600473712083733,1,39,,,desktop,Ukraine
2016-08-19,0799320720359775725,1,43,,,mobile,India
2016-08-19,6538532529991637330,1,43,,,desktop,Venezuela
2016-08-19,2345097454963601023,1,29,,,desktop,United States
2016-08-19,0934564731423665461,1,46,,,desktop,United States
2016-08-19,6531277595713835073,1,51,1,62.69,desktop,United States
2016-08-19,5531026854501207253,1,45,,,desktop,United States
2016-08-19,2583318836591839554,1,53,1,525.79,desktop,United States
2016-08-19,2074164338647079047,1,60,4,,desktop,United States
2016-08-19,0281795238965680893,1,52,,,desktop,United States
2016-08-19,1124880760670566396,1,72,,,desktop,United States
2016-08-19,0040332680018799680,1,65,1,43.6,desktop,United States
2016-08-19,27498965196068176,1,60,,,desktop,Israel
2016-08-19,646691864025431846,1,70,1,96.96,desktop,United States
2016-08-19,575756306746842475,1,58,,,desktop,Venezuela
2016-08-19,0563963070031405352,1,67,,,desktop,United States
2016-08-19,7627847213192322590,1,56,,,desktop,United States
2016-08-19,3434700380216102535,1,70,3,300.57,desktop,United States
2016-08-19,5223607251994179242,1,78,1,186.86,desktop,United States
2016-08-19,2899499757352618693,1,80,,,tablet,United States
2016-08-19,7802919604057763242,1,85,,,tablet,United States
2016-08-19,816701130373045728,1,81,1,116.16,desktop,United States
2016-08-19,9655254168271037061,1,96,,,desktop,United States
2016-08-19,7389339579760791334,1,8,,,desktop,United States
2016-08-19,1662454578688534465,1,1,,,desktop,United States
2016-08-19,7041907630751654454,1,1,,,desktop,Venezuela
2016-08-19,3763562244269521117,1,1,,,desktop,United States
2016-08-19,2345097454963601023,1,4,,,desktop,United States
2016-08-19,0185736381079108842,1,6,,,desktop,Venezuela
2016-08-19,2746106086239652278,1,6,,,desktop,United States
2016-08-19,7041907630751654454,1,7,,,desktop,Venezuela
2016-08-19,0273670963553937338,1,1,,,desktop,Denmark
2016-08-19,2362964413901026704,1,1,,,desktop,Japan
2016-08-19,106216797490734307,1,1,,,desktop,Poland
2016-08-19,893601299646265084,1,1,,,mobile,United States
2016-08-19,2926868693769576808,1,1,,,mobile,United States
2016-08-19,2522711861297490974,1,1,,,desktop,Canada
2016-08-19,7379952416426300527,1,1,,,desktop,Germany
2016-08-19,419524103074603391,1,1,,,desktop,United States
2016-08-19,3540222668443468811,1,1,,,tablet,Canada
2016-08-19,4707414264264775080,1,1,,,desktop,United States
2016-08-19,1935850159487951362,1,1,,,desktop,United States
2016-08-19,8861888608098875376,1,1,,,desktop,Japan
2016-08-19,3823738254217633566,1,1,,,mobile,Thailand
2016-08-19,915044924136972364,1,1,,,desktop,Serbia
2016-08-19,781500665235623844,1,1,,,mobile,Germany
2016-08-19,2529202131941876391,1,1,,,desktop,United States
2016-08-19,2562664289132353914,1,1,,,desktop,Thailand
2016-08-19,5876898437719760125,1,1,,,desktop,Moldova
2016-08-19,9770625274168486278,1,1,,,mobile,United States
2016-08-19,0818483710551440354,1,1,,,tablet,Barbados
2016-08-19,8134190379607681139,1,1,,,desktop,United States
2016-08-19,8275070584346158344,1,1,,,desktop,United States
2016-08-19,6356956869541379326,1,1,,,mobile,United States
2016-08-19,2094893517341431656,1,1,,,mobile,Romania
2016-08-19,8907173936425194876,1,1,,,desktop,United States
2016-08-19,3237569785071493564,1,1,,,desktop,United States
2016-08-19,9299031636620926499,1,1,,,desktop,United States
2016-08-19,1359287132208698232,1,1,,,desktop,United Kingdom
2016-08-19,365680288450463899,1,1,,,desktop,United Kingdom
2016-08-19,1800433882524078551,1,1,,,desktop,Bulgaria
2016-08-19,054869195029448411,1,1,,,mobile,Guatemala
2016-08-19,0713010700167348908,1,1,,,desktop,United States
2016-08-19,4651141151463404987,1,1,,,desktop,United States
2016-08-19,1818130442646011181,1,1,,,mobile,Canada
2016-08-19,6414214009555980519,1,1,,,desktop,Czechia
2016-08-19,6674508567016117667,1,1,,,desktop,United States
2016-08-19,108645077432678539,1,1,,,mobile,United States
2016-08-19,0046136418845073435,1,1,,,mobile,United States
2016-08-19,980550738968021904,1,1,,,mobile,United States
2016-08-19,575915120159498095,1,1,,,desktop,United States
2016-08-19,5673538947030294429,1,1,,,mobile,United States
2016-08-19,7990057690643356030,1,1,,,mobile,United States
2016-08-19,0682089072130431618,1,1,,,desktop,United States
2016-08-19,1503007067868037625,1,1,,,desktop,Slovakia
2016-08-19,3651236178297413161,1,1,,,desktop,United States
2016-08-19,603373162136570069,1,1,,,desktop,United States
2016-08-19,6966623367435545710,1,1,,,mobile,Hong Kong
2016-08-19,691040610124808384,1,1,,,tablet,United States
2016-08-19,7517385536871585803,1,1,,,mobile,United States
2016-08-19,8741241351884494053,1,1,,,desktop,United States
2016-08-19,6206053202828851642,1,1,,,mobile,United States
2016-08-19,5900003242080080911,1,1,,,mobile,United States
2016-08-19,3992493944996167992,1,1,,,mobile,Thailand
2016-08-19,0599849314107271051,1,1,,,desktop,India
2016-08-19,4981632881525957037,1,1,,,desktop,Germany
2016-08-19,4216708960166868745,1,1,,,mobile,United States
2016-08-19,6851856704701935875,1,1,,,desktop,Switzerland
2016-08-19,8619065828358526332,1,1,,,desktop,Indonesia
2016-08-19,6279130089494392017,1,1,,,desktop,Canada
2016-08-19,7851653566519396144,1,1,,,desktop,United States
2016-08-19,1408581816859418132,1,1,,,mobile,United States
2016-08-19,1308441696614650934,1,1,,,tablet,United States
2016-08-19,9053417020875110183,1,1,,,desktop,United States
2016-08-19,174785252039053169,1,1,,,mobile,United States
2016-08-19,9663365591261534060,1,1,,,mobile,United Kingdom
2016-08-19,3224533346148720974,1,1,,,mobile,United Kingdom
2016-08-19,7320713127684095026,1,1,,,desktop,Vietnam
2016-08-19,4924824612568652434,1,1,,,mobile,Argentina
2016-08-19,2962046319806708887,1,1,,,mobile,United States
2016-08-19,8912655470701011082,1,1,,,desktop,Canada
2016-08-19,8630280927814258628,1,1,,,tablet,Egypt
2016-08-19,914254714190694788,1,1,,,mobile,Sri Lanka
2016-08-19,4078581853693360470,1,1,,,desktop,United States
2016-08-19,2932596687642678604,1,1,,,mobile,United States
2016-08-19,1399167010461857513,1,1,,,desktop,United States
2016-08-19,2014808584006252648,1,1,,,desktop,(not set)
2016-08-19,1545439403168694239,1,1,,,desktop,India
2016-08-19,3810896663878967628,1,1,,,desktop,Singapore
2016-08-19,4259013606945192677,1,1,,,mobile,United States
2016-08-19,8771406224574933822,1,1,,,mobile,United States
2016-08-19,440705259752260629,1,1,,,desktop,Ireland
2016-08-19,9451466344925305132,1,1,,,desktop,United States
2016-08-19,0306141257002185315,1,1,,,desktop,Spain
2016-08-19,4997710840369220306,1,1,,,mobile,United States
2016-08-19,4187266305458832238,1,1,,,mobile,United States
2016-08-19,3015769382772934047,1,1,,,desktop,Trinidad & Tobago
2016-08-19,7614114123004107052,1,1,,,desktop,United States
2016-08-19,1299554444501605494,1,1,,,desktop,United States
2016-08-19,6832253162365879789,1,1,,,mobile,United States
2016-08-19,0913114337508535670,1,1,,,desktop,United States
2016-08-19,0770675864674032738,1,1,,,desktop,United States
2016-08-19,0769560476351515188,1,1,,,desktop,United States
2016-08-19,4709133566024199228,1,1,,,desktop,United States
2016-08-19,0769560476351515188,1,1,,,desktop,United States
2016-08-19,0769560476351515188,1,1,,,desktop,United States
2016-08-19,0769560476351515188,1,1,,,desktop,United States
2016-08-19,1692930866387547792,1,1,,,mobile,Brazil
2016-08-19,0605381562256035881,1,1,,,desktop,Palestine
2016-08-19,0769560476351515188,1,1,,,desktop,United States
2016-08-19,287242068315940054,1,1,,,desktop,Brazil
2016-08-19,3608475193341679870,1,1,,,desktop,United States
2016-08-19,3608475193341679870,1,1,,,desktop,United States
2016-08-19,4362730247925977615,1,1,,,desktop,United States
2016-08-19,9963358739097305121,1,2,,,desktop,Spain
2016-08-19,835530966531488408,1,2,,,desktop,India
2016-08-19,1383422285790167039,1,2,,,mobile,Germany
2016-08-19,7466103005279717211,1,2,,,mobile,United Kingdom
2016-08-19,7253584077508799842,1,2,,,desktop,United States
2016-08-19,5882925567019748194,1,2,,,desktop,United States
2016-08-19,603373162136570069,1,2,,,desktop,United States
2016-08-19,7769258313148483335,1,2,,,desktop,United States
2016-08-19,4777238162443908696,1,2,,,desktop,India
2016-08-19,3734041179080409919,1,2,,,desktop,United States
2016-08-19,1185777462513939115,1,2,,,desktop,Canada
2016-08-19,7707854960789344185,1,2,,,desktop,Taiwan
2016-08-19,2220989828392935259,1,2,,,desktop,Colombia
2016-08-19,1778911326227787877,1,2,,,mobile,United States
2016-08-19,0136876972401975041,1,2,,,mobile,United States
2016-08-19,1622210599679750430,1,2,,,mobile,Germany
2016-08-19,085460278015571357,1,2,,,mobile,Singapore
2016-08-19,4872519507576143083,1,1,,,desktop,United Kingdom
2016-08-19,94432237289678953,1,2,,,mobile,United States
2016-08-19,1729661319303967553,1,2,,,desktop,United States
2016-08-19,9226871747028973348,1,2,,,mobile,United States
2016-08-19,9531384179933299114,1,2,,,mobile,United States
2016-08-19,5499004237594713766,1,2,,,desktop,United States
2016-08-19,0552100494264740540,1,2,,,desktop,United Kingdom
2016-08-19,5001189099465036019,1,2,,,desktop,Poland
2016-08-19,5345886805227535841,1,2,,,desktop,India
2016-08-19,3580258296202236373,1,2,,,tablet,United States
2016-08-19,1543299881283381646,1,2,,,mobile,United States
2016-08-19,1566184692838326714,1,2,,,desktop,United States
2016-08-19,7885695042451861117,1,2,,,desktop,Poland
2016-08-19,9539963500353708629,1,2,,,desktop,United States
2016-08-19,6214564728355288816,1,2,,,desktop,Germany
2016-08-19,5988230122059135249,1,2,,,desktop,United States
2016-08-19,9373191234635512401,1,2,,,desktop,Poland
2016-08-19,0673125936511896340,1,2,,,desktop,United States
2016-08-19,8458461370393961708,1,2,,,desktop,United States
2016-08-19,3072052185388428435,1,2,,,desktop,United States
2016-08-19,4548615784771221404,1,2,,,desktop,United States
2016-08-19,2726523511376726055,1,2,,,desktop,United States
2016-08-19,3636726255774330267,1,2,,,desktop,United States
2016-08-19,0292188410903447555,1,2,,,desktop,United States
2016-08-19,5676730309303231984,1,2,,,desktop,United States
2016-08-19,335834652456761881,1,2,,,desktop,United States
2016-08-19,3833337128326743437,1,2,,,desktop,United States
